loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.02,0.02,0.1,0.02,0.02,0.1,0.02,0.1,0.1,0.02,0.02,0.02,0.0,0.0,0.414,0.414,0.1,0.02,0.02,0.414,0.0,0.0,0.02,0.1,0.0,0.02,0.0,0.1,0.02,0.0,0.1,0.02,0.0,0.0,0.1,0.02,0.02,0.02,0.02,1.0,0.0,0.414,0.02,0.02,0.02,0.02,0.02,0.1,0.02,0.0
16,0.0,0.404,0.02,0.0,0.02,0.404,0.1,0.404,0.1,0.1,0.0,0.02,0.0,0.0,0.404,0.404,0.1,0.0,0.0,0.404,0.0,0.1,0.1,0.1,0.02,0.02,0.0,0.404,0.02,0.0,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.1,1.0,0.0,0.02,0.1,0.1,0.02,0.02,0.02,0.1,0.0,0.02
17,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.1,0.1,0.0,0.02,0.02,0.0,0.0,0.02,1.0,0.02,0.02,0.02,0.02,0.1,0.02,0.0,0.1,0.02,0.1,0.0,0.1,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.02,0.447,0.1,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.02
18,0.1,0.1,0.02,0.02,0.02,1.0,0.02,0.418,0.418,0.02,0.02,0.1,0.0,0.02,0.1,0.418,0.02,0.02,0.0,0.1,0.02,0.1,0.1,0.1,0.1,0.1,0.0,1.0,0.418,0.0,0.418,0.02,0.0,0.02,0.418,0.02,0.02,0.1,0.1,1.0,0.02,0.418,0.1,0.02,0.1,0.0,0.02,0.418,0.1,0.1
19,0.1,0.1,0.02,0.02,0.02,0.447,0.02,0.1,0.02,0.0,0.1,0.02,0.1,0.0,0.0,0.1,0.02,0.0,0.0,0.1,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.1,1.0,0.02,0.1,0.0,0.02,0.02,0.0,0.0,0.1,0.0,0.02
20,0.0,0.1,0.1,0.02,0.1,0.447,0.02,0.447,0.0,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.1,0.0,0.0,0.1,0.1,0.02,0.02,0.02,0.02,0.1,0.0,0.02,0.0,0.0,0.1,0.02,0.0,0.0,0.02,0.1,0.0,0.02,0.02,1.0,0.02,0.1,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.02
21,0.02,0.355,0.355,0.0,0.02,0.02,0.1,0.1,0.355,0.1,0.1,0.02,0.02,0.0,0.1,0.355,0.1,0.0,0.02,0.1,0.1,0.1,0.02,0.02,0.1,0.02,0.0,1.0,0.02,0.1,0.1,0.1,0.02,0.02,0.355,0.1,0.1,0.1,0.1,0.355,0.02,0.1,0.1,0.02,0.0,0.1,0.02,1.0,0.1,0.02
22,0.02,0.02,0.02,0.02,0.1,0.1,0.02,0.1,0.02,0.0,0.02,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.1,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,1.0,0.1,0.1,0.02,0.02,0.0,0.0,0.02,0.1,0.02,0.1
23,0.02,0.0,0.02,0.02,0.02,1.0,0.1,0.1,0.1,0.02,0.0,0.0,0.0,0.0,0.02,0.1,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.447,0.02,0.0,0.1,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.02,1.0,0.02,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.1
24,0.02,0.02,0.0,0.1,0.02,0.447,0.1,0.02,1.0,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.447,0.1,0.02,0.02,0.1,0.02,0.1,0.0,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.02,0.02,0.0,0.1,0.02,1.0,0.02,0.447,0.02,0.0,0.02,0.02,0.0,0.1,0.02,0.0
25,0.0,0.0,0.02,0.02,0.02,0.447,0.02,0.1,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.0,0.02,0.1,0.02,0.02,0.02,0.1,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.1,0.0,0.1,0.1,0.447,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02
